ID,Vehicles
20170701001,69.52277579
20170701011,59.03152284
20170701021,44.07034185
20170701031,38.0861033
20170701041,32.33585079
20170701051,31.08288665
20170701061,31.90458864
20170701071,32.84436032
20170701081,40.71873719
20170701091,45.15617121
20170701101,54.47052807
20170701111,56.30015658
20170701121,56.33766571
20170701131,56.01983133
20170701141,55.84407458
20170701151,55.6334704
20170701161,54.85063093
20170701171,53.84567238
20170701181,59.90089167
20170701191,62.23348757
20170701201,63.89663254
20170701211,63.01463115
20170701221,62.94556237
20170701231,62.42011811
20170702001,50.32021533
20170702011,43.43526255
20170702021,34.65169654
20170702031,31.9254136
20170702041,26.73439387
20170702051,26.51200051
20170702061,27.56718885
20170702071,32.58114188
20170702081,38.09960069
20170702091,43.28836349
20170702101,53.52237235
20170702111,54.53949607
20170702121,54.65596187
20170702131,53.38242305
20170702141,52.18258059
20170702151,51.91698405
20170702161,52.23327431
20170702171,52.75638557
20170702181,61.21517543
20170702191,63.51015233
20170702201,64.96371198
20170702211,64.36725157
20170702221,64.45485104
20170702231,64.05480083
20170703001,56.96278561
20170703011,49.08521136
20170703021,36.99068429
20170703031,36.5333529
20170703041,32.72637671
20170703051,32.93813793
20170703061,39.95446318
20170703071,49.91162193
20170703081,57.38638885
20170703091,65.22805595
20170703101,87.24306789
20170703111,105.5828105
20170703121,105.439082
20170703131,102.6172165
20170703141,105.3786175
20170703151,105.5732937
20170703161,103.658119
20170703171,103.3431116
20170703181,106.2577877
20170703191,107.3987198
20170703201,106.995918
20170703211,100.1646848
20170703221,94.59171162
20170703231,93.47262298
20170704001,84.0709254
20170704011,74.31039585
20170704021,62.51551691
20170704031,49.06482992
20170704041,43.54856042
20170704051,42.8914356
20170704061,47.08990974
20170704071,52.12320754
20170704081,59.38262435
20170704091,66.1656623
20170704101,95.20783027
20170704111,107.6397898
20170704121,107.4258951
20170704131,103.3253843
20170704141,105.9478544
20170704151,106.2853845
20170704161,104.2404024
20170704171,103.9772735
20170704181,106.6417188
20170704191,107.643677
20170704201,107.3281145
20170704211,100.7654369
20170704221,96.03712926
20170704231,94.73077933
20170705001,86.20771786
20170705011,73.72054863
20170705021,62.6278975
20170705031,49.32566325
20170705041,43.93398643
20170705051,43.20474302
20170705061,47.62461343
